Date,Hour,DateTime,Count
11/4/16,17:00:00,11/4/16 17:00,9303
11/4/16,18:00:00,11/4/16 18:00,4101
11/4/16,19:00:00,11/4/16 19:00,2037
11/4/16,20:00:00,11/4/16 20:00,13596
11/4/16,21:00:00,11/4/16 21:00,16018
11/4/16,22:00:00,11/4/16 22:00,68756
11/4/16,23:00:00,11/4/16 23:00,76294
12/4/16,0:00:00,12/4/16 0:00,160376
12/4/16,1:00:00,12/4/16 1:00,203697
12/4/16,2:00:00,12/4/16 2:00,194477
12/4/16,3:00:00,12/4/16 3:00,171661
12/4/16,4:00:00,12/4/16 4:00,128450
12/4/16,5:00:00,12/4/16 5:00,65312
12/4/16,6:00:00,12/4/16 6:00,6303
12/4/16,15:00:00,12/4/16 15:00,76347
12/4/16,16:00:00,12/4/16 16:00,68396
12/4/16,21:00:00,12/4/16 21:00,97442
12/4/16,22:00:00,12/4/16 22:00,100000
12/4/16,23:00:00,12/4/16 23:00,52151
13/04/2016,0:00:00,13/04/2016 0:00,51764
13/04/2016,1:00:00,13/04/2016 1:00,360056
13/04/2016,2:00:00,13/04/2016 2:00,289435
13/04/2016,3:00:00,13/04/2016 3:00,289602
13/04/2016,4:00:00,13/04/2016 4:00,152963
13/04/2016,5:00:00,13/04/2016 5:00,209730
13/04/2016,6:00:00,13/04/2016 6:00,102653
13/04/2016,14:00:00,13/04/2016 14:00,1512
13/04/2016,15:00:00,13/04/2016 15:00,4316
13/04/2016,18:00:00,13/04/2016 18:00,65785
13/04/2016,19:00:00,13/04/2016 19:00,26210
13/04/2016,20:00:00,13/04/2016 20:00,80757
13/04/2016,21:00:00,13/04/2016 21:00,230340
13/04/2016,22:00:00,13/04/2016 22:00,160593
13/04/2016,23:00:00,13/04/2016 23:00,89892
14/04/2016,0:00:00,14/04/2016 0:00,88881
14/04/2016,1:00:00,14/04/2016 1:00,49773
14/04/2016,2:00:00,14/04/2016 2:00,19438
14/04/2016,3:00:00,14/04/2016 3:00,7309
14/04/2016,4:00:00,14/04/2016 4:00,6000
14/04/2016,5:00:00,14/04/2016 5:00,12420
14/04/2016,6:00:00,14/04/2016 6:00,28420
15/04/2016,3:00:00,15/04/2016 3:00,87092
15/04/2016,4:00:00,15/04/2016 4:00,412974
15/04/2016,5:00:00,15/04/2016 5:00,245637
15/04/2016,6:00:00,15/04/2016 6:00,198737
15/04/2016,7:00:00,15/04/2016 7:00,21348
15/04/2016,17:00:00,15/04/2016 17:00,206313
15/04/2016,18:00:00,15/04/2016 18:00,246592
15/04/2016,19:00:00,15/04/2016 19:00,118538
15/04/2016,21:00:00,15/04/2016 21:00,237135
15/04/2016,22:00:00,15/04/2016 22:00,134522
15/04/2016,23:00:00,15/04/2016 23:00,102512
16/04/2016,0:00:00,16/04/2016 0:00,181496
16/04/2016,1:00:00,16/04/2016 1:00,217740
16/04/2016,2:00:00,16/04/2016 2:00,209618
16/04/2016,3:00:00,16/04/2016 3:00,98223
16/04/2016,4:00:00,16/04/2016 4:00,38343
16/04/2016,20:00:00,16/04/2016 20:00,160028
16/04/2016,21:00:00,16/04/2016 21:00,407345
16/04/2016,22:00:00,16/04/2016 22:00,253593
16/04/2016,23:00:00,16/04/2016 23:00,154099
17/04/2016,0:00:00,17/04/2016 0:00,45417
