fixdate,site,totalrxns,standrxn,smoltdens,Upstream,Downstream,Milling,Total,Area,cycle
 2016-04-20 22:30:00,firstnight2021,26,0.888281517,NA,271,397,0,668,29.27,Night
 2016-04-20 23:00:00,firstnight2021,46,1.571574991,198971,281,399,0,680,29.27,Night
 2016-04-20 23:30:00,firstnight2021,47,1.605739665,NA,220,383,0,603,29.27,Night
 2016-04-21 0:00,firstnight2021,33,1.127434233,292790,239,416,0,655,29.27,Night
 2016-04-21 0:30,firstnight2021,16,0.54663478,NA,402,381,0,783,29.27,Night
 2016-04-21 1:00,firstnight2021,19,0.649128801,232745,289,481,0,770,29.27,Night
 2016-04-21 1:30,firstnight2021,25,0.854116843,NA,255,422,0,677,29.27,Night
 2016-04-21 2:00,firstnight2021,17,0.580799453,121148,336,307,0,643,29.27,Night
 2016-04-21 2:30,firstnight2021,24,0.819952169,NA,261,404,0,665,29.27,Night
 2016-04-21 3:00,firstnight2021,25,0.854116843,41281,236,244,0,480,29.27,Night
 2016-04-21 3:30,firstnight2021,10,0.341646737,NA,240,327,0,567,29.27,Night
 2016-04-21 4:00,firstnight2021,15,0.512470106,130042,254,302,0,556,29.27,Night
 2016-04-21 4:30,firstnight2021,19,0.649128801,NA,215,218,0,433,29.27,Night
 2016-04-21 5:00,firstnight2021,22,0.751622822,37801,410,332,0,742,29.27,Night
 2016-04-21 5:30,firstnight2021,0,0,NA,306,167,0,473,29.27,Night
 2016-04-21 6:00,firstnight2021,12,0.409976085,200,400,329,0,729,29.27,Day
 2016-04-21 6:30,firstnight2021,0,0,0,29,20,0,49,29.27,Day
 2016-04-21 7:00,firstnight2021,1,0.034164674,0,3,3,0,6,29.27,Day
 2016-04-21 7:30,firstnight2021,0,0,0,0,0,0,0,29.27,Day
 2016-04-21 8:00,firstnight2021,3,0.102494021,0,4,2,0,6,29.27,Day
 2016-04-21 8:30,firstnight2021,1,0.034164674,0,1,4,0,5,29.27,Day
 2016-04-21 9:00,firstnight2021,1,0.034164674,0,3,1,0,4,29.27,Day
 2016-04-21 9:30,firstnight2021,0,0,0,1,0,0,1,29.27,Day
 2016-04-21 10:00,firstnight2021,0,0,0,0,1,0,1,29.27,Day
 2016-04-21 10:30,firstnight2021,0,0,0,1,0,0,1,29.27,Day
 2016-04-21 11:00,firstnight2021,1,0.034164674,0,2,0,0,2,29.27,Day
 2016-04-21 11:30,firstnight2021,1,0.034164674,0,4,0,0,4,29.27,Day
 2016-04-21 12:00,firstnight2021,0,0,0,4,0,0,4,29.27,Day
 2016-04-21 23:00:00,downstreamriver2122,0,0,353368,10,5,0,15,29.27,Night
 2016-04-21 23:30:00,downstreamriver2122,0,0,NA,10,6,0,16,29.27,Night
 2016-04-22 0:00,downstreamriver2122,0,0,267482,1,0,0,1,29.27,Night
 2016-04-22 0:30,downstreamriver2122,1,0.034164674,NA,7,8,0,15,29.27,Night
 2016-04-22 1:00,downstreamriver2122,1,0.034164674,168225,9,12,0,21,29.27,Night
 2016-04-22 1:30,downstreamriver2122,1,0.034164674,NA,6,8,0,14,29.27,Night
 2016-04-22 2:00,downstreamriver2122,7,0.239152716,93375,12,7,1,20,29.27,Night
 2016-04-22 2:30,downstreamriver2122,11,0.375811411,NA,10,12,2,24,29.27,Night
 2016-04-22 3:00,downstreamriver2122,6,0.204988042,77587,7,7,1,15,29.27,Night
 2016-04-22 3:30,downstreamriver2122,3,0.102494021,NA,8,3,1,12,29.27,Night
 2016-04-22 4:00,downstreamriver2122,1,0.034164674,55068,6,5,1,12,29.27,Night
 2016-04-22 4:30,downstreamriver2122,3,0.102494021,NA,3,5,1,9,29.27,Night
 2016-04-22 5:00,downstreamriver2122,2,0.068329347,44474,9,17,0,26,29.27,Night
 2016-04-22 5:30,downstreamriver2122,5,0.170823369,NA,3,12,0,15,29.27,Night
 2016-04-22 6:00,downstreamriver2122,5,0.170823369,22619,8,15,0,23,29.27,Day
 2016-04-22 6:30,downstreamriver2122,4,0.136658695,0,16,8,0,24,29.27,Day
