type,size
DIDSON,62
DIDSON,51
DIDSON,39
DIDSON,65
DIDSON,61
DIDSON,48
DIDSON,46
DIDSON,35
DIDSON,49
DIDSON,43
DIDSON,46
DIDSON,44
DIDSON,38
DIDSON,68
DIDSON,41
DIDSON,35
DIDSON,62
DIDSON,45
DIDSON,43
DIDSON,52
DIDSON,46
DIDSON,45
DIDSON,45
DIDSON,45
DIDSON,40
DIDSON,39
DIDSON,43
DIDSON,48
DIDSON,69
DIDSON,47
DIDSON,48
DIDSON,42
DIDSON,42
DIDSON,41
DIDSON,52
DIDSON,67
DIDSON,42
DIDSON,46
DIDSON,67
DIDSON,43
DIDSON,53
DIDSON,76
DIDSON,57
DIDSON,64
DIDSON,38
DIDSON,55
DIDSON,43
DIDSON,50
DIDSON,53
DIDSON,60
DIDSON,35
DIDSON,61
DIDSON,35
DIDSON,43
DIDSON,50
DIDSON,51
DIDSON,21
DIDSON,34
DIDSON,52
DIDSON,39
DIDSON,45
DIDSON,50
DIDSON,47
DIDSON,40
DIDSON,23
DIDSON,43
DIDSON,30
DIDSON,39
DIDSON,43
DIDSON,58
DIDSON,38
DIDSON,38
DIDSON,38
DIDSON,67
DIDSON,37
DIDSON,35
DIDSON,39
DIDSON,40
DIDSON,43
DIDSON,40
DIDSON,63
DIDSON,45
DIDSON,55
DIDSON,45
DIDSON,46
DIDSON,48
DIDSON,46
DIDSON,36
DIDSON,40
DIDSON,39
DIDSON,47
DIDSON,48
DIDSON,36
DIDSON,35
DIDSON,47
DIDSON,47
DIDSON,46
DIDSON,43
DIDSON,42
DIDSON,45
DIDSON,61
DIDSON,39
DIDSON,42
DIDSON,40
DIDSON,53
DIDSON,51
DIDSON,48
DIDSON,53
DIDSON,60
DIDSON,46
DIDSON,25
DIDSON,45
DIDSON,28
DIDSON,37
DIDSON,40
DIDSON,48
DIDSON,43
DIDSON,49
DIDSON,46
DIDSON,48
DIDSON,46
DIDSON,46
DIDSON,47
DIDSON,41
DIDSON,37
DIDSON,57
DIDSON,42
DIDSON,46
DIDSON,53
DIDSON,39
DIDSON,40
DIDSON,44
DIDSON,51
DIDSON,51
DIDSON,38
DIDSON,54
DIDSON,30
DIDSON,46
DIDSON,37
DIDSON,59
DIDSON,41
DIDSON,48
DIDSON,40
DIDSON,51
