Sites,Size,Size1(cm),UpstreamFence2021,DownstreamRiver2122,,DownstreamFenc2324,NarrowsHalfCamp2526,UpstreamFence272829,NarrowsOppositeCamp29,Field Distribution
UpstreamFence2021,0.49,49,49,43,,48,46,49,50,62
UpstreamFence2021,0.41,41,41,49,,57,49,50,41,62.5
UpstreamFence2021,0.4,40,40,37,,44,51,50,,60.5
UpstreamFence2021,0.63,63,63,47,,44,52,55,,57
UpstreamFence2021,0.42,42,42,40,,47,,54,,63
UpstreamFence2021,0.35,35,35,53,,81,,67,,63
UpstreamFence2021,0.45,45,45,53,,40,,47,,59
UpstreamFence2021,0.43,43,43,49,,44,,66,,58
UpstreamFence2021,0.35,35,35,48,,37,,67,,65.5
UpstreamFence2021,0.54,54,54,50,,45,,51,,58.5
UpstreamFence2021,0.38,38,38,40,,50,,54,,58
UpstreamFence2021,0.5,50,50,47,,37,,49,,58
UpstreamFence2021,0.47,47,47,47,,50,,49,,60.5
UpstreamFence2021,0.36,36,36,51,,,,46,,54
UpstreamFence2021,0.49,49,49,61,,,,57,,59
UpstreamFence2021,0.4,40,40,53,,,,49,,68
UpstreamFence2021,0.56,56,56,46,,,,48,,60.5
UpstreamFence2021,0.38,38,38,44,,,,59,,56
UpstreamFence2021,0.42,42,42,47,,,,32,,63
UpstreamFence2021,0.42,42,42,,,,,55,,67
UpstreamFence2021,0.73,73,73,,,,,48,,67
UpstreamFence2021,0.38,38,38,,,,,59,,52
UpstreamFence2021,0.35,35,35,,,,,53,,77
UpstreamFence2021,0.36,36,36,,,,,57,,79.5
UpstreamFence2021,0.46,46,46,,,,,48,,59.5
UpstreamFence2021,0.46,46,46,,,,,79,,51.5
UpstreamFence2021,0.41,41,41,,,,,50,,65.5
UpstreamFence2021,0.46,46,46,,,,,49,,54
UpstreamFence2021,0.35,35,35,,,,,44,,61
UpstreamFence2021,0.43,43,43,,,,,48,,63.5
UpstreamFence2021,0.37,37,37,,,,,55,,59
UpstreamFence2021,0.34,34,34,,,,,50,,55.5
UpstreamFence2021,0.36,36,36,,,,,45,,56.5
UpstreamFence2021,0.36,36,36,,,,,45,,54
UpstreamFence2021,0.34,34,34,,,,,55,,57
UpstreamFence2021,0.4,40,40,,,,,51,,56
UpstreamFence2021,0.39,39,39,,,,,47,,59
UpstreamFence2021,0.43,43,43,,,,,49,,53
UpstreamFence2021,0.35,35,35,,,,,56,,58
UpstreamFence2021,0.36,36,36,,,,,49,,67.5
UpstreamFence2021,0.46,46,46,,,,,53,,54
UpstreamFence2021,0.46,46,46,,,,,53,,59.5
UpstreamFence2021,0.41,41,41,,,,,49,,59.5
UpstreamFence2021,0.46,46,46,,,,,51,,53
UpstreamFence2021,0.35,35,35,,,,,55,,53
UpstreamFence2021,0.43,43,43,,,,,48,,59
UpstreamFence2021,0.37,37,37,,,,,54,,59.5
UpstreamFence2021,0.34,34,34,,,,,48,,55.5
UpstreamFence2021,0.36,36,36,,,,,48,,68
UpstreamFence2021,0.36,36,36,,,,,48,,54.5
UpstreamFence2021,0.34,34,34,,,,,85,,63
UpstreamFence2021,0.4,40,40,,,,,42,,61
UpstreamFence2021,0.39,39,39,,,,,67,,56
UpstreamFence2021,0.43,43,43,,,,,46,,56
UpstreamFence2021,0.66,66,66,,,,,59,,59
UpstreamFence2021,0.33,33,33,,,,,59,,57
UpstreamFence2021,0.62,62,62,,,,,69,,51
UpstreamFence2021,0.35,35,35,,,,,63,,52.5
UpstreamFence2021,0.39,39,39,,,,,68,,56
UpstreamFence2021,0.42,42,42,,,,,47,,48
UpstreamFence2021,0.42,42,42,,,,,42,,56
UpstreamFence2021,0.39,39,39,,,,,47,,64
UpstreamFence2021,0.41,41,41,,,,,54,,56.5
UpstreamFence2021,0.4,40,40,,,,,40,,65.5
UpstreamFence2021,0.43,43,43,,,,,46,,56
UpstreamFence2021,0.4,40,40,,,,,45,,65.5
UpstreamFence2021,0.36,36,36,,,,,51,,54
UpstreamFence2021,0.38,38,38,,,,,40,,73
UpstreamFence2021,0.36,36,36,,,,,52,,55
UpstreamFence2021,0.4,40,40,,,,,54,,68.5
UpstreamFence2021,0.49,49,49,,,,,47,,67
UpstreamFence2021,0.45,45,45,,,,,40,,64
UpstreamFence2021,0.36,36,36,,,,,47,,63
UpstreamFence2021,0.4,40,40,,,,,56,,64
UpstreamFence2021,0.5,50,50,,,,,51,,62
UpstreamFence2021,0.43,43,43,,,,,45,,72
UpstreamFence2021,0.4,40,40,,,,,54,,60.5
UpstreamFence2021,0.41,41,41,,,,,54,,63.5
UpstreamFence2021,0.34,34,34,,,,,50,,61
UpstreamFence2021,0.41,41,41,,,,,67,,60
UpstreamFence2021,0.38,38,38,,,,,63,,60.5
UpstreamFence2021,0.35,35,35,,,,,43,,60
UpstreamFence2021,0.36,36,36,,,,,44,,54
UpstreamFence2021,0.32,32,32,,,,,54,,69
UpstreamFence2021,0.5,50,50,,,,,55,,66.5
UpstreamFence2021,0.51,51,51,,,,,49,,63
UpstreamFence2021,0.34,34,34,,,,,62,,59
UpstreamFence2021,0.31,31,31,,,,,30,,56
UpstreamFence2021,0.48,48,48,,,,,62,,58.5
UpstreamFence2021,0.42,42,42,,,,,49,,67
UpstreamFence2021,0.37,37,37,,,,,58,,65.5
UpstreamFence2021,0.39,39,39,,,,,49,,45.5
UpstreamFence2021,0.47,47,47,,,,,45,,69
UpstreamFence2021,0.38,38,38,,,,,53,,57.5
UpstreamFence2021,0.35,35,35,,,,,40,,59
UpstreamFence2021,0.33,33,33,,,,,40,,54
UpstreamFence2021,0.39,39,39,,,,,29,,73
UpstreamFence2021,0.43,43,43,,,,,46,,67
UpstreamFence2021,0.45,45,45,,,,,50,,65
UpstreamFence2021,0.41,41,41,,,,,40,,67
UpstreamFence2021,0.32,32,32,,,,,42,,61
UpstreamFence2021,0.32,32,32,,,,,51,,54
UpstreamFence2021,0.43,43,43,,,,,52,,70
UpstreamFence2021,0.39,39,39,,,,,53,,64.5
UpstreamFence2021,0.38,38,38,,,,,50,,58.5
UpstreamFence2021,0.44,44,44,,,,,41,,56.5
UpstreamFence2021,0.49,49,49,,,,,51,,50
UpstreamFence2021,0.37,37,37,,,,,52,,52.5
UpstreamFence2021,0.44,44,44,,,,,51,,50
UpstreamFence2021,0.49,49,49,,,,,56,,61
UpstreamFence2021,0.48,48,48,,,,,53,,45.5
UpstreamFence2021,0.4,40,40,,,,,54,,57
UpstreamFence2021,0.46,46,46,,,,,56,,53
UpstreamFence2021,0.54,54,54,,,,,56,,44.5
UpstreamFence2021,0.45,45,45,,,,,73,,53
UpstreamFence2021,0.35,35,35,,,,,57,,58
UpstreamFence2021,0.38,38,38,,,,,65,,65
UpstreamFence272829,0.49,49,32,,,,,54,,68
UpstreamFence272829,0.5,50,47,,,,,51,,64.5
UpstreamFence272829,0.5,50,39,,,,,44,,52
UpstreamFence272829,0.55,55,36,,,,,41,,53.5
UpstreamFence272829,0.54,54,42,,,,,48,,63
UpstreamFence272829,0.67,67,31,,,,,52,,53
UpstreamFence272829,0.47,47,46,,,,,58,,52.5
UpstreamFence272829,0.66,66,30,,,,,50,,50
UpstreamFence272829,0.67,67,36,,,,,40,,51
UpstreamFence272829,0.51,51,,,,,,44,,51
UpstreamFence272829,0.54,54,,,,,,44,,62
UpstreamFence272829,0.49,49,,,,,,65,,53.5
UpstreamFence272829,0.49,49,,,,,,65,,59.5
UpstreamFence272829,0.46,46,,,,,,52,,60
UpstreamFence272829,0.57,57,,,,,,43,,67
UpstreamFence272829,0.49,49,,,,,,61,,53
UpstreamFence272829,0.48,48,,,,,,48,,56
UpstreamFence272829,0.59,59,,,,,,43,,69
UpstreamFence272829,0.32,32,,,,,,48,,54
UpstreamFence272829,0.55,55,,,,,,49,,55.5
UpstreamFence272829,0.48,48,,,,,,44,,71.5
UpstreamFence272829,0.59,59,,,,,,55,,65.2
UpstreamFence272829,0.53,53,,,,,,57,,74.1
UpstreamFence272829,0.57,57,,,,,,48,,56
UpstreamFence272829,0.48,48,,,,,,40,,59.5
UpstreamFence272829,0.79,79,,,,,,72,,66.1
UpstreamFence272829,0.5,50,,,,,,69,,61.7
UpstreamFence272829,0.49,49,,,,,,34,,56.1
UpstreamFence272829,0.44,44,,,,,,52,,63.6
UpstreamFence272829,0.48,48,,,,,,59,,51.7
UpstreamFence272829,0.55,55,,,,,,59,,49.4
UpstreamFence272829,0.5,50,,,,,,56,,59.9
UpstreamFence272829,0.45,45,,,,,,40,,64.7
UpstreamFence272829,0.45,45,,,,,,40,,51.3
UpstreamFence272829,0.55,55,,,,,,45,,57.7
UpstreamFence272829,0.51,51,,,,,,44,,61.5
UpstreamFence272829,0.47,47,,,,,,37,,55.5
UpstreamFence272829,0.49,49,,,,,,44,,46.4
UpstreamFence272829,0.56,56,,,,,,52,,50.5
UpstreamFence272829,0.49,49,,,,,,68,,54.6
UpstreamFence272829,0.53,53,,,,,,59,,50.5
UpstreamFence272829,0.53,53,,,,,,53,,46.6
UpstreamFence272829,0.49,49,,,,,,48,,55
UpstreamFence272829,0.51,51,,,,,,57,,51.6
UpstreamFence272829,0.55,55,,,,,,78,,55
UpstreamFence272829,0.48,48,,,,,,44,,55.4
UpstreamFence272829,0.54,54,,,,,,69,,50
UpstreamFence272829,0.48,48,,,,,,54,,48
UpstreamFence272829,0.48,48,,,,,,57,,55.1
UpstreamFence272829,0.48,48,,,,,,56,,59
UpstreamFence272829,0.85,85,,,,,,40,,66.1
UpstreamFence272829,0.42,42,,,,,,55,,47.9
UpstreamFence272829,0.67,67,,,,,,61,,65.3
UpstreamFence272829,0.46,46,,,,,,56,,51.3
UpstreamFence272829,0.59,59,,,,,,46,,50.3
UpstreamFence272829,0.59,59,,,,,,47,,48.2
UpstreamFence272829,0.69,69,,,,,,55,,49.2
UpstreamFence272829,0.63,63,,,,,,25,,62.5
UpstreamFence272829,0.68,68,,,,,,40,,57.5
UpstreamFence272829,0.47,47,,,,,,40,,48
UpstreamFence272829,0.42,42,,,,,,53,,53
UpstreamFence272829,0.47,47,,,,,,57,,45.5
UpstreamFence272829,0.54,54,,,,,,46,,55
UpstreamFence272829,0.4,40,,,,,,47,,44
UpstreamFence272829,0.46,46,,,,,,48,,54.9
UpstreamFence272829,0.45,45,,,,,,47,,59.5
UpstreamFence272829,0.51,51,,,,,,59,,50.2
UpstreamFence272829,0.4,40,,,,,,57,,59
UpstreamFence272829,0.52,52,,,,,,52,,61
UpstreamFence272829,0.54,54,,,,,,61,,57.2
UpstreamFence272829,0.47,47,,,,,,48,,45.1
UpstreamFence272829,0.4,40,,,,,,56,,41
UpstreamFence272829,0.47,47,,,,,,57,,59.9
UpstreamFence272829,0.56,56,,,,,,46,,57
UpstreamFence272829,0.51,51,,,,,,72,,53
UpstreamFence272829,0.45,45,,,,,,36,,44.2
UpstreamFence272829,0.54,54,,,,,,61,,50.1
UpstreamFence272829,0.54,54,,,,,,55,,54.5
UpstreamFence272829,0.5,50,,,,,,46,,49.5
UpstreamFence272829,0.67,67,,,,,,41,,58
UpstreamFence272829,0.63,63,,,,,,54,,50.5
UpstreamFence272829,0.43,43,,,,,,30,,56.8
